Time,Length,OpCode,ChannelNumber,HostSerialNumber,CallerID,Flags,SampleCountString,,,,,SampleCount,,AudioDataLength,,,AudioData
1/26/2017 0:25,388,Transmit,26,F2-16-79-75,Office,FA,1D-22-10-B3,1D2210B3,8720,160,1909264,160,179,319,,488771763,FA-FB-7B-DB-BB-57-BB-76-DC-F3-5C-F3-BE-D9-DC-DE-38-DE-B6-B5-F6-7A-F8-75-73-B7-FA-FE-D9-F2-7C-F8-B5-F2-7A-FE-9E-FE-1B-DC-FE-D7-F7-F6-FC-FA-F8-DB-BE-76-9B-5C-F4-FE-78-F3-F7-B3-DA-79-B4-DB-7A-BE-FA-7A-DC-B7-F8-DE-F4-F7-F7-FA-F7-7E-98-BA-DC-DC-37-FA-B6-DE-F6-FA-F8-7A-DA-B3-FA-5C-9C-F3-F5-7A-FA-B7-32-B7-7C-DE-F7-94-5D-F4-76-F7-FE-DD-B9-FA-5E-D7-F4-3C-F8-D7-BA-BE-F8-F3-3E-F8-DE-FA-B8-D9-DA-77-F6-72-DE-DB-B9-F5-F5-76-F9-FE-5E-DC-BC-F8-72-9B-F4-DB-79-F6-BA-9E-56-76-F7-FE-7C-F9-B9-BE-FA-7A-78-58-BC-D6-DB-AF-5E-76-F6-FA-FC-5D-9D-B9-3E-FC-F7-76-B4-DC-B7-7E-77-7E-78-FA-FC-BA-FB-FA-7A-FA-7A-F9-B9-FB-FB-F9-F9-7B-FB-B9-F9-FB-FB-F9-79-FB-FB-B9-B8-FB-FB-78-F8-BB-FB-F8-F8-FA-7A-F8-F8-BA-BA-F8-F7-FA-B8-F7-7A-F7-FA-F8-F7-DE-B1-DE-F5-F8-B8-F8-FA-F8-B8-FA-FA-F7-FA-B7-DE-F0-DC-B8-75-BA-F8-DE-EC-B2-D4-F1-5B-D9-B5-B9-37-9F-F2-D7-DF-79-9F-DF-6F-F6-5E-BB-59-B5-59-6F-70-D9-DE-F6-9D-7C-F7-F7-DE-FA-DD-FC-7E-BA-F8-71-9E-74-9A-7C-F4-B8-F2-7C-FE-9E-18-F2-FC-BA-F7-FC-D6-7C-1B
1/26/2017 0:25,388,Transmit,26,F2-16-79-75,Office,FA,1D-22-B0-BE,1D22B0BE,8880,160,1909424,160,190,319,,488812734,FA-7A-78-58-BC-D6-DB-AF-5E-76-F6-FA-FC-5D-9D-B9-3E-FC-F7-76-B4-DC-B7-7E-77-7E-78-FA-FC-BA-FB-FA-7A-FA-7A-F9-B9-FB-FB-F9-F9-7B-FB-B9-F9-FB-FB-F9-79-FB-FB-B9-B8-FB-FB-78-F8-BB-FB-F8-F8-FA-7A-F8-F8-BA-BA-F8-F7-FA-B8-F7-7A-F7-FA-F8-F7-DE-B1-DE-F5-F8-B8-F8-FA-F8-B8-FA-FA-F7-FA-B7-DE-F0-DC-B8-75-BA-F8-DE-EC-B2-D4-F1-5B-D9-B5-B9-37-9F-F2-D7-DF-79-9F-DF-6F-F6-5E-BB-59-B5-59-6F-70-D9-DE-F6-9D-7C-F7-F7-DE-FA-DD-FC-7E-BA-F8-71-9E-74-9A-7C-F4-B8-F2-7C-FE-9E-18-F2-FC-BA-F7-FC-D6-7C-1B-F3-B5-9E-7E-D6-71-5A-F7-FB-DE-F5-79-B6-57-5D-B7-F4-7B-F8-72-9C-75-BB-D8-79-F9-78-FE-F3-DF-DF-BA-F8-F9-7E-7C-FC-9E-78-9E-BA-F7-77-7C-DC-FC-D6-B4-F7-DE-7E-FA-B8-DC-19-F2-BE-D9-7C-FA-B8-59-F6-F5-7A-D9-9E-F6-78-F6-74-B4-F8-5E-B8-DF-FB-F6-F6-73-DA-71-9B-B9-F7-DD-F7-7E-BE-5E-DA-BE-FE-F7-DB-F0-77-D3-9E-DA-75-B9-79-9D-DB-79-F4-BE-F5-76-DE-FA-FA-FE-FA-BE-FC-F5-5E-F2-BC-7A-FA-DB-B7-FA-77-71-9B-F9-7E-BC-D8-38-F7-9A-DE-F7-73-FE-7E-B7-BC-9E-DE-78-5E-75-7E-F5-B7-F5-FE-D9-7E-99-DC-7A-F5-FB
1/26/2017 0:25,388,Transmit,26,F2-16-79-75,Office,FA,1D-23-50-F3,1D2350F3,9040,160,1909584,160,243,319,,488853747,B5-9E-7E-D6-71-5A-F7-FB-DE-F5-79-B6-57-5D-B7-F4-7B-F8-72-9C-75-BB-D8-79-F9-78-FE-F3-DF-DF-BA-F8-F9-7E-7C-FC-9E-78-9E-BA-F7-77-7C-DC-FC-D6-B4-F7-DE-7E-FA-B8-DC-19-F2-BE-D9-7C-FA-B8-59-F6-F5-7A-D9-9E-F6-78-F6-74-B4-F8-5E-B8-DF-FB-F6-F6-73-DA-71-9B-B9-F7-DD-F7-7E-BE-5E-DA-BE-FE-F7-DB-F0-77-D3-9E-DA-75-B9-79-9D-DB-79-F4-BE-F5-76-DE-FA-FA-FE-FA-BE-FC-F5-5E-F2-BC-7A-FA-DB-B7-FA-77-71-9B-F9-7E-BC-D8-38-F7-9A-DE-F7-73-FE-7E-B7-BC-9E-DE-78-5E-75-7E-F5-B7-F5-FE-D9-7E-99-DC-7A-F5-FB-DA-F8-B2-D9-5E-B1-5A-F0-77-BA-DD-7C-B8-F7-7C-78-DE-D6-DC-ED-B5-B9-F8-DE-FE-52-FB-B8-FC-FE-F7-36-F7-FC-FC-9E-B6-5D-DB-F9-F4-5E-77-BA-FE-58-9E-9E-7C-F7-DC-72-77-7A-BE-FE-F8-DC-B3-FA-5E-D9-70-97-F7-BC-75-76-FA-F5-F7-98-D8-5D-79-9D-FE-FA-F8-F6-7C-F8-F3-DC-98-94-79-FC-FA-F8-76-BE-FC-FA-9C-72-FC-7A-B8-B6-7E-EE-BA-5B-F4-5C-7C-9E-BA-F1-D8-5E-9E-7C-FE-78-BB-DE-7B-FA-DA-97-77-FE-DF-F6-D9-3A-D7-F4-B4-F8-9E-F4-32-FE-72-DD-FA-BE-FA-FA-72-F7-75-79-F1-BE-96-96-58-5D-78-DE-73-5D-BC-DA-F8-F6
1/26/2017 0:25,388,Transmit,26,F2-16-79-75,Office,FA,1D-23-F0-DA,1D23F0DA,9200,160,1909744,160,218,319,,488894682,F8-B2-D9-5E-B1-5A-F0-77-BA-DD-7C-B8-F7-7C-78-DE-D6-DC-ED-B5-B9-F8-DE-FE-52-FB-B8-FC-FE-F7-36-F7-FC-FC-9E-B6-5D-DB-F9-F4-5E-77-BA-FE-58-9E-9E-7C-F7-DC-72-77-7A-BE-FE-F8-DC-B3-FA-5E-D9-70-97-F7-BC-75-76-FA-F5-F7-98-D8-5D-79-9D-FE-FA-F8-F6-7C-F8-F3-DC-98-94-79-FC-FA-F8-76-BE-FC-FA-9C-72-FC-7A-B8-B6-7E-EE-BA-5B-F4-5C-7C-9E-BA-F1-D8-5E-9E-7C-FE-78-BB-DE-7B-FA-DA-97-77-FE-DF-F6-D9-3A-D7-F4-B4-F8-9E-F4-32-FE-72-DD-FA-BE-FA-FA-72-F7-75-79-F1-BE-96-96-58-5D-78-DE-73-5D-BC-DA-F8-F6-DD-57-1C-FC-F4-F8-F9-B8-FC-F4-DE-79-5B-76-DA-95-B3-B2-7E-74-7B-AE-BE-50-F3-D9-5C-7A-FE-B6-FA-FC-FB-DA-FC-59-FB-9C-FB-9E-77-DE-5D-F3-9E-B5-76-FA-77-FC-F6-F6-96-5A-BE-FC-59-77-F7-F4-B9-5D-B7-FA-7A-DC-59-DF-BC-F9-F5-79-9D-5F-FB-5E-9E-DE-35-BA-FA-FC-D4-DD-76-BA-DB-7C-F9-7C-DB-BE-DA-F4-77-DE-F4-78-DC-9C-5B-30-B0-BA-7C-F5-F1-FA-DD-77-DC-BA-FA-7C-F8-B1-FA-7A-9E-F7-15-F6-DE-7C-F5-DB-FA-F7-58-F7-79-9D-B5-F6-5D-D8-77-F6-5C-BE-BE-D2-BB-FA-76-7C-FE-FC-7E-B4-BC-FC-7A-56-7A-F2-F5-DD-B9-BC
1/26/2017 0:25,388,Transmit,26,F2-16-79-75,Office,FA,1D-24-90-DD,1D2490DD,9360,160,1909904,160,221,319,,488935645,57-1C-FC-F4-F8-F9-B8-FC-F4-DE-79-5B-76-DA-95-B3-B2-7E-74-7B-AE-BE-50-F3-D9-5C-7A-FE-B6-FA-FC-FB-DA-FC-59-FB-9C-FB-9E-77-DE-5D-F3-9E-B5-76-FA-77-FC-F6-F6-96-5A-BE-FC-59-77-F7-F4-B9-5D-B7-FA-7A-DC-59-DF-BC-F9-F5-79-9D-5F-FB-5E-9E-DE-35-BA-FA-FC-D4-DD-76-BA-DB-7C-F9-7C-DB-BE-DA-F4-77-DE-F4-78-DC-9C-5B-30-B0-BA-7C-F5-F1-FA-DD-77-DC-BA-FA-7C-F8-B1-FA-7A-9E-F7-15-F6-DE-7C-F5-DB-FA-F7-58-F7-79-9D-B5-F6-5D-D8-77-F6-5C-BE-BE-D2-BB-FA-76-7C-FE-FC-7E-B4-BC-FC-7A-56-7A-F2-F5-DD-B9-BC-F0-5D-DB-F6-1E-FC-BE-DB-FE-F8-57-54-DA-BE-FE-F5-BC-DC-7A-77-5C-EB-AB-9E-DF-F8-F8-5B-9F-FC-FE-79-F8-F2-FB-DC-B9-B7-DC-79-55-5F-BB-F7-DD-B5-78-F7-7B-F8-FA-DE-F8-FE-B7-FC-5D-BC-5C-58-D7-99-BA-BA-FC-F6-DB-F8-77-1E-76-B1-B7-F7-DA-F6-D8-7B-F6-B4-7B-F9-F6-5D-5D-F5-F6-F6-D9-B7-F9-B9-FE-DC-5B-F6-D9-9E-7C-F7-12-AD-F6-DC-BA-5E-F8-7B-F7-5F-F8-9C-B8-7B-BE-F6-EE-73-5A-D8-FE-5E-F7-FA-F5-FC-FE-F9-57-D9-DF-BE-FC-EF-F7-DD-BB-FA-EF-BC-5F-D9-9E-BB-78-DC-BE-F8-EF-F9-DA-DF-1E-B7-FB-FE-B8-79-FB-FB
1/26/2017 0:25,388,Transmit,26,F2-16-79-75,Office,FA,1D-25-30-F0,1D2530F0,9520,160,1910064,160,240,319,,488976624,5D-DB-F6-1E-FC-BE-DB-FE-F8-57-54-DA-BE-FE-F5-BC-DC-7A-77-5C-EB-AB-9E-DF-F8-F8-5B-9F-FC-FE-79-F8-F2-FB-DC-B9-B7-DC-79-55-5F-BB-F7-DD-B5-78-F7-7B-F8-FA-DE-F8-FE-B7-FC-5D-BC-5C-58-D7-99-BA-BA-FC-F6-DB-F8-77-1E-76-B1-B7-F7-DA-F6-D8-7B-F6-B4-7B-F9-F6-5D-5D-F5-F6-F6-D9-B7-F9-B9-FE-DC-5B-F6-D9-9E-7C-F7-12-AD-F6-DC-BA-5E-F8-7B-F7-5F-F8-9C-B8-7B-BE-F6-EE-73-5A-D8-FE-5E-F7-FA-F5-FC-FE-F9-57-D9-DF-BE-FC-EF-F7-DD-BB-FA-EF-BC-5F-D9-9E-BB-78-DC-BE-F8-EF-F9-DA-DF-1E-B7-FB-FE-B8-79-FB-FB-FB-7E-1C-DD-F9-B6-FC-FC-F7-FC-F4-F3-5D-9E-95-5E-FC-DB-35-7C-5D-B1-B5-7E-B5-DD-DB-7E-F4-7C-B6-75-B5-5E-F4-B7-75-F4-7E-DA-F9-DE-7A-FE-BC-FE-57-77-98-FE-77-5B-F6-FC-B6-FC-F3-DA-7A-79-D6-BE-DA-B9-5D-F4-9E-7A-7A-FE-D7-56-B9-F6-B3-74-F5-FB-79-B0-FB-D6-F6-FE-FC-F9-F8-DC-9A-B9-DD-1C-D9-FA-FA-B2-79-B4-FA-5D-19-F2-B9-F9-BE-7C-DD-FA-72-D5-78-9C-F6-5E-F8-F9-F7-F4-F6-BA-F6-7A-7A-5A-FA-BA-F9-FE-FE-F8-DC-F8-FC-DA-D0-B6-BC-5C-FC-74-BC-FE-F2-9C-54-9C-57-AE-F8-F9-5E-F3-B7-78-FE-7A-9D-DA-57-F8
1/26/2017 0:25,388,Transmit,26,F2-16-79-75,Office,FA,1D-25-D0-FB,1D25D0FB,9680,160,1910224,160,251,319,,489017595,7E-1C-DD-F9-B6-FC-FC-F7-FC-F4-F3-5D-9E-95-5E-FC-DB-35-7C-5D-B1-B5-7E-B5-DD-DB-7E-F4-7C-B6-75-B5-5E-F4-B7-75-F4-7E-DA-F9-DE-7A-FE-BC-FE-57-77-98-FE-77-5B-F6-FC-B6-FC-F3-DA-7A-79-D6-BE-DA-B9-5D-F4-9E-7A-7A-FE-D7-56-B9-F6-B3-74-F5-FB-79-B0-FB-D6-F6-FE-FC-F9-F8-DC-9A-B9-DD-1C-D9-FA-FA-B2-79-B4-FA-5D-19-F2-B9-F9-BE-7C-DD-FA-72-D5-78-9C-F6-5E-F8-F9-F7-F4-F6-BA-F6-7A-7A-5A-FA-BA-F9-FE-FE-F8-DC-F8-FC-DA-D0-B6-BC-5C-FC-74-BC-FE-F2-9C-54-9C-57-AE-F8-F9-5E-F3-B7-78-FE-7A-9D-DA-57-F8-DF-F8-79-B8-B9-79-FA-F6-FE-F8-98-73-F7-BC-F7-B4-79-7A-5E-AE-52-79-9B-5D-F4-BB-F9-7B-FC-F7-DF-F8-79-B8-B4-76-78-79-B5-F6-56-DD-F9-F8-FE-7A-F7-F9-DA-BE-F6-D6-B9-76-56-B4-F7-7C-F9-99-F3-97-3C-DB-7C-F3-74-F6-BC-D7-F8-F6-7C-FA-FB-DD-DA-B5-77-F7-DB-72-B4-F9-9C-DC-B8-76-1B-F8-F7-9A-FE-FB-78-F2-5E-FB-99-7C-5A-F1-B4-DC-FA-D6-DF-74-DF-18-9C-F4-5C-BB-B7-7C-7E-F8-FE-FE-FB-B4-70-F5-5C-FC-FE-7C-F8-7A-9E-B4-B4-7C-F6-FA-5B-FC-B6-BE-DA-DB-D6-55-5F-74-B8-FC-F6-FC-77-BC-F9-7A-FC-9C-71-F7-DB-DA
1/26/2017 0:25,388,Transmit,26,F2-16-79-75,Office,FA,1D-26-70-DF,1D2670DF,9840,160,1910384,160,223,319,,489058527,F8-79-B8-B9-79-FA-F6-FE-F8-98-73-F7-BC-F7-B4-79-7A-5E-AE-52-79-9B-5D-F4-BB-F9-7B-FC-F7-DF-F8-79-B8-B4-76-78-79-B5-F6-56-DD-F9-F8-FE-7A-F7-F9-DA-BE-F6-D6-B9-76-56-B4-F7-7C-F9-99-F3-97-3C-DB-7C-F3-74-F6-BC-D7-F8-F6-7C-FA-FB-DD-DA-B5-77-F7-DB-72-B4-F9-9C-DC-B8-76-1B-F8-F7-9A-FE-FB-78-F2-5E-FB-99-7C-5A-F1-B4-DC-FA-D6-DF-74-DF-18-9C-F4-5C-BB-B7-7C-7E-F8-FE-FE-FB-B4-70-F5-5C-FC-FE-7C-F8-7A-9E-B4-B4-7C-F6-FA-5B-FC-B6-BE-DA-DB-D6-55-5F-74-B8-FC-F6-FC-77-BC-F9-7A-FC-9C-71-F7-DB-DA-72-BE-DA-79-97-99-9F-72-F5-F9-7B-7B-9B-F9-F8-D5-5B-F4-78-F6-5C-6A-B4-D7-B8-9E-F6-5F-7C-FB-7E-DF-9F-9E-FE-F8-F9-78-DC-DB-B5-FC-7E-BC-F5-F9-78-B4-F6-B9-D9-79-F9-B7-5D-D8-D9-5E-F7-B9-F7-F9-31-FE-FE-F9-DD-F9-FC-9E-F6-F8-9C-7E-72-D8-FE-DB-B2-FA-FE-5E-77-DE-9B-DC-FE-75-B5-F3-77-9A-FA-DA-5A-FA-5B-B9-BC-B4-79-F0-B6-59-F6-78-BA-F2-75-F8-F3-FB-F4-DD-DF-FE-DA-B9-7A-72-BC-9D-F9-5D-D8-F4-5D-7C-F9-B4-DA-F7-F7-F9-9B-D6-F2-F8-3C-9C-7C-B7-DC-DB-DA-DC-FA-7C-5E-AE-BE-FC-5B-F5-78-B3-F5-FC-FC-54
1/26/2017 0:25,388,Transmit,26,F2-16-79-75,Office,FA,1D-27-10-72,1D271072,10000,160,1910544,160,114,319,,489099378,BE-DA-79-97-99-9F-72-F5-F9-7B-7B-9B-F9-F8-D5-5B-F4-78-F6-5C-6A-B4-D7-B8-9E-F6-5F-7C-FB-7E-DF-9F-9E-FE-F8-F9-78-DC-DB-B5-FC-7E-BC-F5-F9-78-B4-F6-B9-D9-79-F9-B7-5D-D8-D9-5E-F7-B9-F7-F9-31-FE-FE-F9-DD-F9-FC-9E-F6-F8-9C-7E-72-D8-FE-DB-B2-FA-FE-5E-77-DE-9B-DC-FE-75-B5-F3-77-9A-FA-DA-5A-FA-5B-B9-BC-B4-79-F0-B6-59-F6-78-BA-F2-75-F8-F3-FB-F4-DD-DF-FE-DA-B9-7A-72-BC-9D-F9-5D-D8-F4-5D-7C-F9-B4-DA-F7-F7-F9-9B-D6-F2-F8-3C-9C-7C-B7-DC-DB-DA-DC-FA-7C-5E-AE-BE-FC-5B-F5-78-B3-F5-FC-FC-54-59-BE-BE-F8-DA-F8-7E-F9-75-9E-F7-B1-FE-7A-FE-59-BE-AD-F9-58-79-E9-B3-5B-BE-FE-7B-D8-DC-BA-5E-1F-9D-F2-DB-F8-DF-DA-DC-FE-FC-77-77-B9-F5-DB-F4-B6-77-5F-FB-7C-9C-BE-FA-7C-F7-F9-7A-F7-DB-F7-9E-BA-FC-76-F9-FA-DB-BC-34-FC-FC-FA-BC-FA-D9-59-F2-7C-77-B7-DE-B7-1E-D7-F0-F6-F4-F9-FA-DA-F7-1E-F9-B1-79-BC-58-5A-14-F1-9B-DC-F2-FE-BC-7B-79-5F-D9-DF-BC-F9-7C-FC-FE-7E-B2-DE-DE-B8-78-F3-7A-7A-DE-DE-98-FA-FE-7E-F8-FB-5E-EF-95-98-7C-6D-DC-D8-FA-73-BC-F6-F9-3C-D6-FC-FA-DE-9D-DA-F9-1E-FA-F3-F9-F9
1/26/2017 0:25,388,Transmit,26,F2-16-79-75,Office,FA,1D-27-B0-59,1D27B059,10160,160,1910704,160,89,319,,489140313,BE-BE-F8-DA-F8-7E-F9-75-9E-F7-B1-FE-7A-FE-59-BE-AD-F9-58-79-E9-B3-5B-BE-FE-7B-D8-DC-BA-5E-1F-9D-F2-DB-F8-DF-DA-DC-FE-FC-77-77-B9-F5-DB-F4-B6-77-5F-FB-7C-9C-BE-FA-7C-F7-F9-7A-F7-DB-F7-9E-BA-FC-76-F9-FA-DB-BC-34-FC-FC-FA-BC-FA-D9-59-F2-7C-77-B7-DE-B7-1E-D7-F0-F6-F4-F9-FA-DA-F7-1E-F9-B1-79-BC-58-5A-14-F1-9B-DC-F2-FE-BC-7B-79-5F-D9-DF-BC-F9-7C-FC-FE-7E-B2-DE-DE-B8-78-F3-7A-7A-DE-DE-98-FA-FE-7E-F8-FB-5E-EF-95-98-7C-6D-DC-D8-FA-73-BC-F6-F9-3C-D6-FC-FA-DE-9D-DA-F9-1E-FA-F3-F9-F9-F6-BE-76-DD-75-BA-DD-B7-FE-F4-FE-F8-FC-93-1B-BE-F5-76-DB-B6-6B-7B-F8-DF-DD-D7-DE-3B-95-F4-F5-DF-F7-7A-F7-F5-5F-F8-FE-B9-F8-FE-79-B4-DF-B5-5F-B9-F8-FA-9A-7A-7A-F6-F4-B2-F9-DC-FC-5B-FA-F6-9A-F3-BB-1E-DE-F8-75-F3-DF-9D-59-DE-F5-DE-F2-F9-7C-BA-FA-5E-5E-99-79-B6-FA-BC-77-F6-75-76-DE-F5-B9-B7-DD-7A-5C-F6-74-F4-B4-DE-9B-7C-DB-DD-5B-FC-7C-9C-F7-BE-FA-7E-BC-DF-F5-FB-9E-F6-76-76-DE-F8-F5-AE-F6-DE-F8-77-9C-5A-B8-78-B3-9E-77-5E-73-F6-FA-BE-DA-D5-FA-75-F9-77-D9-B5-FC-BC-7E-FE-DE-FE-7A-5E
